timestep Temp E_pair E_mol TotEng Press
770000 307.41922 -16838.34 2226.9084 -9571.4605 -4.2194404
775000 298.88965 -16882.715 2322.363 -9660.2187 -0.33490017
780000 300.35183 -16891.481 2343.4573 -9623.9191 -3.3555547
785000 300.91601 -17023.583 2324.9099 -9765.3191 -4.7201168
790000 299.68268 -16870.289 2261.7348 -9695.4196 -4.4227859
795000 304.41358 -16938.094 2272.4788 -9674.92 2.7710796
800000 305.89236 -16815.082 2307.1671 -9492.9766 -3.4793667
805000 307.74481 -16952.919 2235.4419 -9672.1684 -0.30956343
810000 300.04803 -16885.406 2275.0151 -9691.2669 1.4504053
815000 294.37171 -16879.467 2220.9237 -9832.479 -0.58590488
820000 300.73293 -16900.348 2296.5551 -9673.4406 1.2771025
825000 300.37239 -16836.847 2288.7721 -9623.6327 0.87887635
830000 301.57543 -16852.826 2262.6287 -9646.0328 2.2804085
835000 302.04694 -16846.056 2231.4657 -9662.6957 0.042397453
840000 299.67983 -16882.094 2315.4923 -9653.5143 -0.60613639
845000 301.62286 -16980.548 2162.3746 -9873.2313 -2.8133801
850000 299.26423 -16887.197 2239.7105 -9741.2126 3.4640119
855000 296.1031 -16872.685 2245.0736 -9773.1624 0.77971768
860000 302.45315 -16951.822 2225.476 -9767.7916 -6.6662519
865000 305.26965 -16990.774 2277.7323 -9708.3118 -1.1298492
870000 296.98534 -16812.586 2210.968 -9732.7053 -1.946834
875000 297.59833 -16856.224 2198.698 -9778.5638 -6.87379
880000 294.24754 -16985.59 2318.4834 -9843.0783 4.5775099
885000 297.52672 -16831.858 2261.8636 -9692.2063 -2.3749465
890000 297.99052 -16995.475 2277.2911 -9832.7912 2.7540102
895000 304.76488 -16841.852 2323.774 -9521.6241 0.49108168
900000 303.00658 -16850.711 2247.6859 -9635.3977 -2.3948331
905000 295.89695 -16934.905 2253.0735 -9830.7617 -2.9638618
910000 302.81532 -16936.924 2244.4729 -9727.9592 1.1508275
915000 307.21679 -16907.02 2209.9578 -9660.4101 -3.636144
920000 307.20994 -16905.989 2274.1903 -9595.2585 4.7545652
925000 299.52909 -16834.822 2276.0322 -9648.1737 -1.587496
930000 301.44252 -16883.599 2279.6102 -9662.0031 -3.0597912
935000 304.56291 -16954.387 2235.752 -9725.4922 0.61569535
940000 298.35408 -16878.405 2241.062 -9745.9904 2.1441262
945000 305.19419 -16866.591 2348.6066 -9514.4914 -2.2331041
950000 299.49001 -16855.955 2298.553 -9647.4262 -1.4479431
955000 301.27833 -16863.087 2238.415 -9685.3784 -2.4490685
960000 301.79922 -16813.691 2257.1342 -9608.7231 0.19083156
965000 298.5906 -16937.848 2300.9872 -9741.631 0.91501744
970000 304.05217 -16937.945 2285.9196 -9667.2555 2.1089926
975000 303.50974 -16910.439 2305.923 -9628.6387 0.69175305
980000 303.36707 -16857.864 2247.1312 -9637.1947 0.78775806
985000 299.22283 -16919.502 2187.9987 -9825.908 -3.2103674
990000 296.11427 -16784.381 2206.0403 -9723.7082 0.028728316
995000 295.90528 -16876.593 2210.7037 -9814.6832 -5.7070482
1000000 294.22008 -16877.839 2270.4256 -9783.8358 0.61017809
1005000 298.66652 -16885.624 2202.6551 -9786.4935 1.2267217
1010000 297.79658 -16968.771 2255.4894 -9831.0689 -1.0017747
1015000 300.12039 -16856.614 2211.8835 -9724.42 1.4739149
1020000 295.51951 -16950.047 2298.9208 -9806.2446 0.089255462
1025000 296.37004 -16931.4 2194.3616 -9878.213 -3.0691635
1030000 305.43637 -16990.32 2309.526 -9673.3311 -5.1758197
1035000 298.28069 -16982.099 2256.2714 -9835.6784 -0.24176502
1040000 307.62821 -16952.104 2229.498 -9679.2087 -5.6527334
1045000 304.70746 -16941.37 2246.096 -9699.7609 -0.24367235
1050000 299.69 -16969.793 2273.2037 -9783.3352 0.082009011
1055000 303.36765 -16989.934 2257.1095 -9759.2769 -0.91066246
1060000 303.18965 -16930.928 2275.4129 -9684.8859 0.3328263
1065000 298.76263 -16995.235 2254.1001 -9843.0847 -6.7432942
1070000 304.55902 -16815.178 2225.0538 -9597.0448 -2.392566
1075000 301.37645 -16984.141 2276.8645 -9766.3741 1.8995929
1080000 303.13109 -16911.121 2234.6367 -9706.8149 1.8316921
1085000 301.61028 -16835.853 2278.3927 -9612.7236 -3.0788285
1090000 298.03767 -16851.359 2247.5381 -9717.6561 -0.34996986
1095000 305.52649 -16968.913 2331.0356 -9628.9373 1.1265151
1100000 305.407 -16849.149 2261.3629 -9580.8051 4.6665715
1105000 301.82257 -17046.448 2261.3973 -9836.8346 -1.2349562
1110000 291.79487 -16868.724 2311.0338 -9773.8723 -2.218493
1115000 300.81462 -16923.627 2320.0677 -9671.8671 -1.1447682
1120000 302.48717 -16848.484 2285.8507 -9603.5209 -0.58477468
1125000 297.66559 -16925.918 2258.0886 -9787.7644 -2.3353735
1130000 301.87648 -16909.57 2232.0941 -9728.3751 -0.87395699
1135000 299.45074 -16963.234 2275.9221 -9777.9799 -1.283365
1140000 298.52595 -16958.107 2298.1194 -9765.8177 2.0848198
1145000 299.60619 -17018.875 2235.4591 -9871.5351 3.54189
1150000 296.30676 -16950.235 2241.7336 -9850.7132 -1.4642644
1155000 306.07709 -16852.096 2226.9004 -9607.2282 4.2543188
1160000 298.82627 -16927.152 2274.3591 -9753.6988 9.1141773
1165000 295.96793 -16950.132 2262.6964 -9835.2025 -0.011073197
1170000 299.51504 -16990.537 2234.0256 -9846.1252 0.52531071
1175000 295.7915 -16935.413 2250.9169 -9835.1555 0.15569434
1180000 301.54469 -16945.842 2249.6758 -9752.5057 -2.3512329
1185000 299.8828 -16923.769 2174.4673 -9832.8867 3.0810513
1190000 297.13041 -16873.311 2297.5801 -9704.4392 -0.85961504
1195000 303.58256 -16874.61 2227.0339 -9670.5056 -0.22796704
1200000 298.58771 -16988.368 2311.9166 -9781.2683 -0.48697916
1205000 302.76508 -16924.873 2280.2901 -9680.9138 -0.090938531
1210000 298.81437 -16824.865 2256.6682 -9669.298 -2.2702931
1215000 295.956 -16867.787 2296.0079 -9719.7418 1.5890923
1220000 302.05268 -17029.767 2292.0936 -9785.6846 -0.41338759
1225000 301.48958 -16837.134 2228.6105 -9665.7659 -2.9626606
1230000 295.82431 -16921.997 2293.3995 -9778.7197 -1.9877581
1235000 302.84217 -16948.597 2265.4201 -9718.2444 3.3505002
1240000 297.88618 -16973.001 2278.7166 -9810.603 2.6950853
1245000 297.05477 -17020.08 2195.2485 -9954.7807 -1.4981961
1250000 300.91548 -17003.408 2252.8854 -9817.1772 3.4236107
1255000 305.06647 -16971.614 2192.6423 -9777.5728 -0.9986992
1260000 295.50896 -17003.788 2222.4816 -9936.5983 0.27583812
1265000 299.20982 -16864.587 2236.099 -9723.1056 2.8473801
1270000 295.13153 -16990.071 2246.3384 -9905.2116 3.1224039
1275000 301.95264 -16881.332 2241.012 -9689.9711 4.9190255
1280000 300.86537 -17055.8 2192.2631 -9931.0133 -1.1953934
1285000 298.31726 -16767.152 2241.689 -9634.7141 -4.6189399
1290000 301.00099 -16851.835 2274.9149 -9642.1727 -4.2952312
1295000 298.97852 -16928.78 2155.6284 -9871.5616 3.104907
1300000 297.02941 -16773.138 2301.9697 -9601.5332 0.12596339
1305000 301.5282 -17022.861 2286.7223 -9792.7484 -1.9853228
1310000 302.47196 -16889.844 2279.2522 -9651.7289 -1.0548345
1315000 299.69442 -16973.397 2217.409 -9842.6609 1.8578349
1320000 299.89978 -17005.183 2265.4568 -9823.0324 3.0974332
1325000 302.31299 -16959.279 2234.342 -9768.6798 8.2037228
1330000 294.81442 -16921.129 2255.4295 -9832.3773 5.3486923
1335000 296.58469 -16890.289 2258.3683 -9769.5765 -3.2675571
1340000 299.71312 -16928.856 2241.9568 -9773.2661 -3.3864386
1345000 300.16184 -16968.185 2227.0693 -9820.1258 4.8430012
1350000 299.92394 -16963.689 2290.1918 -9756.4078 -1.027578
1355000 295.6385 -16907.235 2334.062 -9726.3409 0.02864184
1360000 302.75839 -16903.916 2305.1383 -9635.2186 4.4846463
1365000 299.186 -16919.922 2360.4666 -9654.4641 3.9796446
1370000 298.24827 -16957.036 2210.8216 -9856.5969 -2.420215
1375000 297.29733 -16849.78 2223.0083 -9752.744 0.3539458
1380000 300.93998 -16906.63 2192.2565 -9780.6267 2.3535868
1385000 299.69895 -16817.928 2227.6918 -9676.8351 1.4121084
1390000 296.06568 -16894.458 2276.0032 -9764.6188 2.223646
1395000 305.94682 -16955.412 2232.0558 -9707.5243 2.9606925
1400000 299.22357 -16974.313 2275.4123 -9793.2935 -0.96841549
1405000 295.3804 -16913.147 2285.5601 -9784.9859 -2.5521986
1410000 298.46049 -16942.496 2271.1631 -9778.236 -0.23835966
1415000 297.16978 -16956.312 2245.7692 -9838.6062 -2.8444335
1420000 295.14855 -16832.761 2241.1163 -9752.8452 1.3052119
1425000 301.85726 -16900.098 2266.9337 -9684.3788 -1.9387755
1430000 307.39202 -16974.185 2282.0238 -9652.6367 -0.8899432
1435000 301.27365 -16925.004 2296.7469 -9689.0397 -6.7249323
1440000 300.45369 -16780.419 2220.1447 -9634.4994 2.8890321
1445000 304.02313 -16954.589 2361.8963 -9608.3989 0.29526047
1450000 301.31037 -16940.997 2312.9826 -9688.1947 0.40908175
1455000 298.92864 -16960.584 2253.2495 -9806.5627 1.196176
1460000 298.06105 -16960.678 2253.2059 -9820.9239 -0.13967404
1465000 300.6513 -16956.048 2274.7962 -9752.2379 -2.5957261
1470000 297.22282 -16809.727 2229.0825 -9707.8387 2.6491692
1475000 300.23245 -16909.779 2324.3177 -9663.3141 -2.5303509
1480000 296.96452 -16920.394 2245.4038 -9806.4187 -2.4971667
1485000 298.98457 -16837.645 2335.4554 -9600.5002 0.43537384
1490000 299.5412 -16949.561 2200.5663 -9838.1803 -2.2022408
1495000 302.48099 -16906.836 2284.5265 -9663.2984 -0.77294224
1500000 296.5204 -16832.335 2284.9503 -9686.0948 -1.5800162
1505000 302.89368 -16935.195 2298.6519 -9670.7659 -0.73609265
1510000 302.34288 -16945.012 2245.3721 -9742.8934 -4.0497576
1515000 297.58923 -16985.012 2264.3223 -9841.8759 -1.8933932
1520000 296.60754 -17044.625 2254.4974 -9927.4089 -3.5861706
1525000 305.30189 -16843.228 2283.9931 -9553.9765 1.1104096
1530000 293.97596 -16906.723 2243.5909 -9843.5559 4.8321617
1535000 298.20886 -16889.894 2277.2732 -9723.6489 3.4094499
1540000 303.92988 -16920.51 2227.1372 -9710.6077 2.3791163
1545000 297.93888 -16944.534 2170.8485 -9889.1399 -1.9739886
1550000 303.34329 -16991.933 2263.3665 -9755.4182 1.3505836
1555000 303.1877 -16801.494 2255.7229 -9575.1737 0.62319445
1560000 302.95972 -16847.131 2236.4568 -9643.8143 4.7906651
1565000 301.98897 -16946.329 2238.5339 -9756.8502 3.0455302
1570000 296.6486 -16937.187 2321.9959 -9751.7989 -0.96511851
1575000 303.0644 -16949.54 2276.8901 -9704.0737 -0.1837488
1580000 297.97921 -16913.268 2349.3996 -9678.6617 -0.66178505
1585000 297.01022 -16977.249 2237.9072 -9870.0212 2.9073785
1590000 300.41214 -16853.152 2307.918 -9620.1403 1.3364563
1595000 303.36339 -17064.41 2279.747 -9811.1858 0.083715147
1600000 299.22359 -16845.543 2288.7216 -9651.2132 2.1441975
1605000 302.34978 -16809.531 2237.0306 -9615.6407 -2.5710442
1610000 298.33328 -16893.578 2236.0209 -9766.5458 -4.9135711
1615000 300.07325 -16813.772 2286.8467 -9607.3877 2.8968701
1620000 299.4348 -16910.665 2274.8436 -9726.7511 1.9526315
1625000 299.03922 -16881.35 2264.5224 -9714.2422 -0.00634849
1630000 303.3616 -16856.724 2249.3583 -9633.9178 5.3519213
1635000 301.13276 -16879.701 2164.086 -9778.7072 1.0833662
1640000 296.55799 -16935.732 2236.1348 -9837.6907 2.1424253
1645000 298.78284 -17017.764 2274.2211 -9845.1606 5.9703312
1650000 300.78139 -16990.395 2310.3841 -9748.8635 1.9127013
1655000 297.35668 -16877.013 2256.2618 -9745.75 -3.6905646
1660000 299.89764 -16998.294 2242.9834 -9838.6524 2.1324201
1665000 306.07259 -16912.609 2244.9241 -9649.7912 4.6567392
1670000 298.95292 -16912.061 2316.9065 -9693.9838 -6.6154168
1675000 299.65111 -16953.597 2260.535 -9780.4455 -0.9457073
1680000 301.45944 -17023.088 2299.3647 -9781.4602 -1.32468
1685000 301.2692 -16935.866 2273.6073 -9723.1139 6.9707669
1690000 293.19815 -16996.885 2268.4785 -9921.5822 1.656058
1695000 303.98121 -16930.128 2277.958 -9668.5636 0.61314228
1700000 303.74498 -16848.635 2256.4586 -9612.4425 -1.2033032
1705000 305.04556 -16920.884 2236.6856 -9683.1431 -1.4078347
1710000 297.58582 -16967.918 2257.7351 -9831.4253 0.17063841
