timestep Temp E_pair E_mol TotEng Press
860000 302.15794 -11006.693 1203.0469 -7101.62 8.2810538
865000 304.22788 -11053.991 1220.8219 -7112.6325 -14.18874
870000 296.92421 -11092.228 1290.4575 -7146.5469 8.7444468
875000 298.88073 -11026.326 1267.2533 -7086.3528 -19.164993
880000 307.78111 -11107.169 1222.5344 -7132.3236 -0.7464577
885000 299.83987 -11080.907 1231.8937 -7167.7164 4.7499907
890000 301.29378 -11136.752 1265.2715 -7177.1822 23.854329
895000 307.76429 -10933.531 1192.6705 -6988.6999 -1.958273
900000 304.91904 -10998.482 1204.1212 -7067.6432 32.859561
905000 297.38183 -11096.128 1211.2832 -7225.5281 -19.883936
910000 303.16231 -10995.743 1187.5856 -7097.1496 10.882593
915000 302.33277 -11060.674 1228.2002 -7128.8844 -6.6951698
920000 298.46865 -11096.321 1207.8549 -7219.4313 -12.428928
925000 299.0792 -11058.967 1225.6907 -7158.7811 16.064567
930000 300.60205 -11010.948 1228.5263 -7094.3087 7.624685
935000 300.27388 -10996.086 1241.8211 -7069.0868 -22.743383
940000 295.7986 -11019.416 1208.7497 -7165.5079 7.6720067
945000 305.87169 -11075.888 1256.6593 -7083.9922 15.841682
950000 304.95842 -11059.169 1246.0654 -7086.0343 13.808532
955000 304.52019 -11074.641 1225.0814 -7126.4089 4.4505502
960000 301.07325 -11071.078 1279.6341 -7099.1171 -0.050799466
965000 299.89039 -11041.065 1247.1181 -7112.198 7.7635772
970000 292.43122 -11060.748 1217.2027 -7228.499 -10.441621
975000 300.42823 -11132.271 1178.627 -7267.0855 2.6557802
980000 296.68912 -11009.774 1194.2015 -7162.4512 0.81516
985000 296.57892 -11004.942 1181.725 -7171.0808 -31.160045
990000 300.50229 -11084.202 1209.4491 -7187.5325 -9.8517778
995000 297.13675 -11101.309 1214.8448 -7229.3399 -3.1476018
1000000 300.92681 -11145.43 1250.0388 -7204.3743 -7.7069128
1005000 299.88204 -11030.992 1203.9636 -7145.3538 1.9284752
1010000 296.86793 -10959.011 1221.9014 -7082.3889 -11.005519
1015000 292.18415 -10963.239 1212.257 -7138.1454 21.040754
1020000 297.76024 -11012.517 1170.0009 -7179.8161 -11.244549
1025000 306.1719 -10971.271 1270.8285 -6962.5212 5.7120615
1030000 302.41524 -11134.766 1237.2334 -7193.2059 8.5584627
1035000 297.01903 -11085.811 1217.7074 -7212.0315 14.427889
1040000 302.55691 -11041.504 1248.2158 -7087.6937 15.495763
1045000 302.39289 -11107.1 1207.2674 -7195.7056 -6.8379073
1050000 302.02458 -11074.801 1219.1755 -7154.7917 11.81261
1055000 307.75049 -11110.371 1222.7578 -7135.5754 -11.486493
1060000 297.92494 -11105.354 1221.8578 -7219.3231 -13.49928
1065000 298.30314 -11124.427 1192.2328 -7264.6397 -11.701109
1070000 298.59782 -11074.398 1219.5608 -7184.6467 -2.575385
1075000 304.2165 -11119.725 1187.8412 -7211.4485 11.63007
1080000 303.95042 -11090.198 1234.8712 -7137.2712 8.5039047
1085000 306.01536 -11170.599 1253.598 -7180.4798 -7.7364177
1090000 300.52766 -11148.566 1193.3351 -7267.7835 -0.27164651
1095000 298.25501 -11043.943 1186.7017 -7190.1171 -31.095475
1100000 299.07236 -11070.17 1194.2498 -7201.4863 -1.6973026
1105000 298.79289 -11183.428 1231.9921 -7279.5013 5.0737428
1110000 297.91713 -11123.74 1225.6288 -7234.0085 -4.2424556
1115000 298.0748 -11054.316 1193.3339 -7195.4687 2.9034963
1120000 300.20839 -11043.966 1250.534 -7108.8398 -2.6244177
1125000 305.67833 -11094.643 1232.6684 -7128.4679 -22.078367
1130000 300.2868 -11115.356 1219.8812 -7210.1808 -14.559645
1135000 308.25128 -11088.995 1231.8724 -7100.6072 6.7633313
1140000 304.7658 -11119.905 1268.394 -7126.1644 7.7506563
1145000 296.57552 -11033.045 1258.1692 -7122.7699 -2.6862056
1150000 305.3355 -11024.236 1252.5746 -7041.2203 -0.7683087
1155000 295.87159 -11107.431 1203.263 -7258.3574 -24.142023
1160000 298.46341 -11122.872 1181.1555 -7272.7282 -23.624745
