timestep Temp E_pair E_mol TotEng
1425000 295.29659 -213.62359 1286.6335 3713.679
1430000 302.75343 -208.47189 1293.3297 3792.2092
1435000 295.923 -205.14388 1288.3655 3729.4923
1440000 307.91179 -202.76307 1346.8086 3897.5253
1445000 304.70766 -206.22005 1221.9641 3740.571
1450000 299.73686 -195.47181 1306.2313 3791.1354
1455000 299.7841 -227.09044 1287.9748 3741.6827
1460000 288.804 -197.44336 1279.8166 3664.9828
1465000 303.53041 -214.89983 1297.2567 3796.6563
1470000 298.86455 -226.61096 1290.1542 3736.1186
1475000 297.33361 -207.309 1295.8886 3747.4647
1480000 295.53856 -198.55695 1295.5057 3739.7817
1485000 302.67259 -203.7642 1279.4184 3782.2828
1490000 298.67804 -202.52288 1245.396 3713.7806
1495000 299.37389 -219.0838 1331.0531 3789.0994
1500000 296.16248 -208.53292 1287.1207 3727.0
1505000 297.97176 -215.18225 1288.8053 3738.2147
1510000 297.8331 -205.70476 1274.6391 3732.286
1515000 298.42309 -214.70232 1302.4333 3756.3586
1520000 301.37442 -221.39819 1227.7273 3701.3488
1525000 302.53755 -210.2273 1232.9417 3728.1353
1530000 297.79013 -204.03186 1270.8014 3729.737
1535000 295.95362 -223.03445 1305.044 3728.5541
1540000 302.73089 -206.92855 1305.6991 3805.9204
1545000 294.05826 -193.42311 1298.5876 3734.7599
1550000 305.42059 -219.49837 1275.4644 3787.1683
1555000 296.71616 -212.55084 1274.86 3715.6727
1560000 296.3843 -183.39805 1276.9566 3743.9544
1565000 302.04229 -201.78054 1305.675 3804.8866
1570000 300.70026 -207.50794 1274.1463 3755.6294
1575000 300.21113 -218.45953 1289.0046 3755.1622
1580000 300.68402 -213.60933 1300.1366 3775.3732
1585000 300.32285 -197.09973 1242.6976 3731.2139
1590000 298.38792 -204.68859 1283.4508 3747.0753
1595000 298.5049 -205.68846 1251.6923 3715.363
1600000 296.90226 -211.34778 1256.8928 3700.5728
1605000 303.72597 -208.73134 1282.0875 3789.4044
1610000 295.96008 -197.62895 1267.937 3716.9104
1615000 305.10495 -193.58946 1299.717 3834.5073
1620000 296.58169 -218.00543 1247.2809 3681.4365
1625000 304.67162 -218.23331 1314.0319 3820.3033
1630000 294.77723 -200.40116 1265.8996 3701.5233
1635000 306.20075 -213.7182 1267.0439 3791.5045
1640000 306.18677 -208.81523 1251.5697 3780.8083
1645000 297.51908 -206.94255 1289.4259 3743.0269
1650000 300.55381 -197.38385 1297.3223 3787.6199
1655000 300.51025 -199.64696 1308.7893 3796.4343
1660000 299.23452 -213.76133 1266.1819 3728.3043
1665000 302.25287 -210.00761 1336.9388 3829.8064
1670000 303.91794 -201.74786 1300.0924 3816.1095
1675000 296.19808 -226.22823 1270.7275 3693.2299
1680000 300.21085 -221.82351 1224.5198 3687.3109
1685000 305.93225 -212.13777 1274.2691 3797.9091
1690000 292.94455 -213.21453 1251.0447 3657.4664
1695000 305.2344 -206.82327 1308.2686 3830.9827
1700000 292.54116 -210.19553 1291.4799 3697.3132
1705000 304.03178 -200.78047 1287.6845 3805.687
1710000 300.28838 -196.57833 1275.9214 3764.651
1715000 295.78103 -193.19152 1278.0044 3729.8141
1720000 297.46271 -215.94998 1304.0816 3748.1711
1725000 303.00357 -217.1375 1308.4365 3800.8873
1730000 304.83788 -224.83217 1301.2419 3802.4012
1735000 296.86325 -212.25547 1230.5008 3672.9242
1740000 295.54254 -210.21907 1283.3107 3715.9601
1745000 303.89911 -203.88112 1293.2015 3806.9169
1750000 305.085 -207.02912 1269.3002 3790.4724
1755000 301.84994 -203.44345 1267.1575 3762.9861
1760000 304.7285 -203.65516 1261.2801 3782.6382
1765000 298.50473 -210.94318 1292.9127 3751.3272
1770000 302.44468 -203.36611 1264.598 3765.8223
1775000 299.38275 -208.39407 1260.4552 3729.2705
1780000 300.9629 -206.6347 1248.9486 3733.6537
1785000 293.62118 -203.5873 1278.8682 3700.9678
1790000 300.97182 -204.18133 1267.0489 3754.287
1795000 305.66581 -212.47542 1294.766 3815.6857
1800000 300.71231 -199.57473 1227.8259 3717.35
1805000 296.00022 -200.76736 1273.0804 3719.2743
1810000 296.36618 -200.26337 1309.8964 3759.8669
1815000 306.32167 -214.68759 1321.542 3846.1146
1820000 296.27668 -208.08965 1266.8039 3708.1477
1825000 297.51299 -197.67477 1267.2343 3730.0487
1830000 303.21689 -207.59114 1294.5329 3798.4376
1835000 301.75461 -240.37187 1303.031 3761.0786
1840000 304.2488 -209.41786 1296.9183 3808.2241
1845000 298.94533 -218.16018 1251.5203 3706.6578
1850000 294.46971 -187.84651 1231.38 3676.8082
1855000 305.24761 -212.94184 1240.9598 3757.6734
1860000 296.02199 -207.15753 1220.1378 3660.1363
1865000 303.05141 -193.31206 1287.3604 3804.0644
1870000 303.47718 -206.27175 1299.7705 3807.3222
1875000 293.32118 -220.41391 1289.8383 3692.4285
1880000 297.81557 -199.34926 1268.2667 3732.1124
1885000 301.81573 -206.91973 1298.1433 3790.1896
1890000 296.15787 -221.50099 1264.6722 3691.5423
1895000 303.02254 -220.31012 1298.4177 3787.8654
1900000 299.34228 -204.6386 1273.3773 3745.5861
1905000 302.72093 -220.18035 1330.8601 3817.7405
1910000 306.53691 -198.85981 1277.7538 3820.0789
1915000 306.2496 -211.81374 1257.0947 3783.8967
1920000 300.29696 -212.03662 1255.5549 3728.9029
1925000 303.06302 -223.19406 1253.2063 3740.1321
1930000 297.30223 -226.65577 1307.0694 3739.0181
1935000 291.54411 -200.33711 1321.8486 3728.6243
1940000 300.04949 -222.34075 1248.6681 3709.499
1945000 294.21924 -214.05629 1353.349 3770.3277
1950000 298.16025 -206.72212 1286.813 3746.3681
1955000 303.43529 -193.50444 1287.5037 3807.4482
1960000 293.63031 -202.65299 1310.5788 3733.6944
1965000 302.27197 -194.14339 1269.4548 3778.3575
1970000 298.34901 -203.25435 1241.1923 3705.9031
1975000 302.01882 -192.29567 1268.9292 3777.4158
1980000 305.45036 -217.38887 1246.7381 3760.8177
1985000 299.20697 -204.77835 1261.4522 3732.3113
1990000 303.79344 -203.25917 1277.5159 3790.9084
1995000 304.78057 -203.61229 1257.9805 3779.8472
2000000 303.1373 -194.05817 1232.4317 3749.1577
2005000 296.50105 -213.8199 1279.4847 3717.1047
2010000 305.58445 -217.32884 1322.2678 3837.6065
2015000 292.87053 -215.68692 1300.3221 3703.6095
